time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-09-04T17:23:15.680Z,-26.6793,-114.4776,10,5.1,mb,,52,37.621,0.7,us,usb000s960,2014-09-04T17:46:36.579Z,"Easter Island region",earthquake
2014-09-04T16:53:03.280Z,51.9016,178.2402,114.6,4.1,mb,,155,0.843,0.92,us,usc000sa0u,2014-09-04T17:41:33.639Z,"18km WSW of Little Sitkin Island, Alaska",earthquake
2014-09-04T16:46:25.000Z,57.8421,-153.9946,7.2,2.6,ml,,,,0.58,ak,ak11379642,2014-09-04T17:15:27.009Z,"33km N of Larsen Bay, Alaska",earthquake
2014-09-04T14:27:51.290Z,50.29,156.2213,89.28,4.9,mb,,124,2.968,0.87,us,usc000s9ze,2014-09-04T14:59:40.200Z,"43km S of Severo-Kuril'sk, Russia",earthquake
2014-09-04T12:16:15.000Z,59.5826,-152.8735,108.3,2.6,ml,,,,0.91,ak,ak11379471,2014-09-04T12:56:37.870Z,"62km WSW of Anchor Point, Alaska",earthquake
2014-09-04T11:41:21.180Z,36.5502,-97.5781,5,3.3,mb_lg,,27,0.329,0.91,us,usc000s9yd,2014-09-04T16:11:57.542Z,"27km WSW of Tonkawa, Oklahoma",earthquake
2014-09-04T10:56:23.100Z,38.185,-122.3047,10.9,3,Ml,83,72,0.05389892,0.16,nc,nc72291211,2014-09-04T17:48:05.872Z,"4km WNW of American Canyon, California",earthquake
2014-09-04T10:11:03.400Z,36.6923,-121.3255,5.9,3,Md,61,28.8,0.01796631,0.05,nc,nc72291191,2014-09-04T16:01:03.956Z,"13km SSE of Ridgemark, California",earthquake
2014-09-04T09:26:53.190Z,-20.7182,-70.3117,31.86,5.1,mb,,51,0.18,0.86,us,usc000s9wh,2014-09-04T14:54:00.000Z,"57km SSW of Iquique, Chile",earthquake
2014-09-04T08:52:01.200Z,45.3665,-121.7138,3.7,2.6,Ml,,57.6,0.02694946,0.2,uw,uw60869306,2014-09-04T17:40:50.163Z,"20km E of Mount Hood Village, Oregon",earthquake
2014-09-04T05:45:45.000Z,59.9306,-152.2397,194.9,2.5,ml,,,,0.81,ak,ak11379307,2014-09-04T13:58:59.732Z,"28km NW of Anchor Point, Alaska",earthquake
2014-09-04T05:33:46.430Z,-21.3965,-173.2577,11.83,6,mwb,,26,3.886,1.38,us,usc000s9v5,2014-09-04T15:54:04.000Z,"175km E of `Ohonua, Tonga",earthquake
2014-09-04T05:29:44.340Z,-23.9151,-66.7029,209.13,4.4,mb,,68,2.409,1.09,us,usc000s9v3,2014-09-04T13:59:05.911Z,"51km NW of San Antonio de los Cobres, Argentina",earthquake
2014-09-04T04:13:31.000Z,67.3079,-146.2029,0.6,3.3,ml,,,,0.84,ak,ak11379227,2014-09-04T12:16:35.946Z,"92km NNW of Fort Yukon, Alaska",earthquake
2014-09-04T03:24:02.200Z,37.4045,-122.1983,4.2,2.9,Md,70,32.4,0.01796631,0.09,nc,nc72290996,2014-09-04T17:47:31.293Z,"0km N of Ladera, California",earthquake
2014-09-04T02:41:06.100Z,18.6436,-66.2181,70,3,Md,17,201.6,0.33866486,0.18,pr,pr14247000,2014-09-04T10:43:47.746Z,"21km N of Levittown, Puerto Rico",earthquake
2014-09-04T01:12:00.000Z,67.2428,-145.3207,36.5,2.9,ml,,,,1.09,ak,ak11379157,2014-09-04T17:55:53.403Z,"75km N of Fort Yukon, Alaska",earthquake
2014-09-04T00:53:04.000Z,59.2452,-152.1511,52.1,2.6,ml,,,,0.58,ak,ak11379134,2014-09-04T08:55:38.235Z,"55km SW of Homer, Alaska",earthquake
2014-09-04T00:40:53.000Z,39.8155,-120.707,0.1,2.8,Md,21,57.6,0.06288207,0.27,nc,nc72290911,2014-09-04T16:58:08.741Z,"20km SE of East Quincy, California",earthquake
2014-09-04T00:40:38.000Z,62.0285,-150.5792,58.2,2.8,ml,,,,0.46,ak,ak11379126,2014-09-04T08:43:17.828Z,"40km WSW of Y, Alaska",earthquake
2014-09-04T00:34:57.100Z,40.6082,-123.9157,19.7,2.6,Md,22,111.6,0.19762936,0.11,nc,nc72290906,2014-09-04T04:47:05.776Z,"16km ENE of Hydesville, California",earthquake
2014-09-03T23:34:14.730Z,18.8985,-81.3167,10,5.2,mb,,25,0.43,1.21,us,usc000s9tf,2014-09-04T14:40:42.000Z,"43km S of George Town, Cayman Islands",earthquake
2014-09-03T23:00:41.670Z,-27.8839,-66.7656,149.03,4.5,mb,,78,2.348,1.09,us,usc000s9t1,2014-09-04T07:03:20.395Z,"36km SE of Belen, Argentina",earthquake
2014-09-03T22:49:35.620Z,42.8085,142.669,42.02,4.9,mb,,97,0.871,0.56,us,usc000s9t0,2014-09-04T06:52:17.638Z,"45km WSW of Obihiro, Japan",earthquake
2014-09-03T20:34:00.300Z,-26.5482,-114.6284,10,5.9,mwb,,35,4.764,1.04,us,usc000s9q5,2014-09-04T15:54:03.000Z,"Easter Island region",earthquake
2014-09-03T15:41:49.560Z,44.4086,-114.1305,2.78,2.7,ml,,71,0.03,0.28,us,usc000s9kk,2014-09-04T15:40:28.349Z,"13km SE of Challis, Idaho",earthquake
2014-09-03T15:14:52.800Z,-10.9027,162.1035,39.4,5.2,mb,,30,2.573,0.77,us,usc000s9kg,2014-09-04T00:03:52.446Z,"53km SSE of Kirakira, Solomon Islands",earthquake
2014-09-03T14:36:43.000Z,61.18,-152.6859,10,2.5,ml,,,,0.86,ak,ak11378173,2014-09-03T22:39:10.548Z,"77km N of Redoubt Volcano, Alaska",earthquake
2014-09-03T13:43:58.080Z,15.1386,122.3537,10,5.3,mb,,37,7.732,0.78,us,usc000s99e,2014-09-04T04:02:45.782Z,"37km ENE of Carlagan, Philippines",earthquake
2014-09-03T11:34:40.100Z,-14.9205,-172.9044,10,5.7,mww,,54,1.484,1.23,us,usc000s98u,2014-09-04T15:55:30.835Z,"138km SSW of Gataivai, Samoa",earthquake
2014-09-03T11:27:55.016Z,41.8906,-119.6294,0,2.84,ml,4,123.29,0.502,0.0745,nn,nn00458191,2014-09-03T23:19:00.703Z,"67km ESE of Lakeview, Oregon",earthquake
2014-09-03T11:18:06.400Z,19.1266,-67.084,24,2.8,Md,5,298.8,0.83543321,0.15,pr,pr14246003,2014-09-03T19:20:35.550Z,"69km N of Isabela, Puerto Rico",earthquake
2014-09-03T10:18:51.270Z,38.2321663,-122.3314972,9.57,2.65,md,79,62,0.0253,0.13,nc,nc72290666,2014-09-04T08:00:29.953Z,"8km SSW of Napa, California",earthquake
2014-09-03T10:11:15.500Z,35.2732,141.1963,23.18,4.8,mb,,120,2.438,1.4,us,usc000s98m,2014-09-03T18:13:58.008Z,"60km SSE of Hasaki, Japan",earthquake
2014-09-03T10:01:04.140Z,18.9649,-81.3405,10,5.1,mb,,26,0.376,1.28,us,usc000s98a,2014-09-04T02:55:46.293Z,"35km S of George Town, Cayman Islands",earthquake
2014-09-03T08:13:27.770Z,-15.1064,-173.6,10,4.9,mb,,61,5.283,0.87,us,usc000s97i,2014-09-04T15:54:00.000Z,"94km N of Hihifo, Tonga",earthquake
2014-09-03T07:56:20.000Z,47.8768,-121.6353,8.3,2.7,Ml,,50.4,0.11678099,0.3,uw,uw60868421,2014-09-04T04:39:52.242Z,"5km ENE of Gold Bar, Washington",earthquake
2014-09-03T07:43:31.950Z,-15.0063,-173.5139,10,5.7,mb,,23,5.305,1.6,us,usc000s97b,2014-09-04T15:53:59.000Z,"107km NNE of Hihifo, Tonga",earthquake
2014-09-03T07:24:20.090Z,36.8949,139.4494,15.1,5.2,mb,,93,1.059,0.95,us,usc000s978,2014-09-03T11:02:30.270Z,"21km NW of Nikko, Japan",earthquake
2014-09-03T07:23:24.140Z,-15.0005,-173.662,10,4.7,mb,,60,14.573,0.98,us,usc000s979,2014-09-03T15:26:01.911Z,"105km N of Hihifo, Tonga",earthquake
2014-09-03T06:47:18.080Z,52.8029,-162.6971,30.61,4.3,mb,,172,2.101,1.22,us,usc000s977,2014-09-03T15:01:33.399Z,"232km SSE of False Pass, Alaska",earthquake
2014-09-03T06:28:34.650Z,-3.8504,-104.1546,10,4.4,mb,,225,23.268,0.8,us,usc000s975,2014-09-03T15:01:36.437Z,"Central East Pacific Rise",earthquake
2014-09-03T03:30:59.500Z,33.799,-116.9633333,13.6,2.86,ml,113,23,0.009755,0.18,ci,ci37264048,2014-09-04T03:31:15.860Z,"1km NNW of San Jacinto, California",earthquake
2014-09-03T03:09:56.410Z,64.769,-17.2934,5,5.2,mb,,63,1.729,1.08,us,usc000s96j,2014-09-04T15:53:57.000Z,"108km SSE of Akureyri, Iceland",earthquake
2014-09-03T02:52:02.010Z,32.5868,-109.1068,5,2.8,ml,,82,1.117,1.04,us,usc000s96i,2014-09-03T10:54:30.808Z,"45km NW of Lordsburg, New Mexico",earthquake
2014-09-03T02:43:31.000Z,51.8009,176.5396,22.5,3,ml,,,,0.96,ak,ak11377774,2014-09-03T18:11:41.108Z,"74km SE of Buldir Island, Alaska",earthquake
2014-09-03T02:38:35.880Z,33.7988333,-116.964,13.63,3.64,ml,149,18,0.009709,0.18,ci,ci37264024,2014-09-04T16:50:58.503Z,"1km NNW of San Jacinto, California",earthquake
2014-09-02T23:41:31.090Z,-11.582,-112.0104,10,5.5,mwp,,34,31.858,1.05,us,usc000s961,2014-09-04T15:53:56.000Z,"Central East Pacific Rise",earthquake
2014-09-02T22:53:39.640Z,64.5893,-17.7535,10,4.6,mb,,108,1.545,1.34,us,usc000s95r,2014-09-03T06:56:18.925Z,"123km S of Akureyri, Iceland",earthquake
2014-09-02T22:22:00.850Z,10.8179,-69.5124,10,4.8,mb,,99,1.746,1.35,us,usc000s95i,2014-09-03T06:24:27.267Z,"2km E of Churuguara, Venezuela",earthquake
2014-09-02T21:34:16.337Z,40.0028,-117.8538,1.405,2.51,ml,11,271.31,0.973,0.1482,nn,nn00458142,2014-09-03T16:54:07.448Z,"56km ESE of Lovelock, Nevada",earthquake
2014-09-02T20:55:15.200Z,35.5317,-98.0839,5,2.7,ml,,103,,0.84,us,usc000s94v,2014-09-03T21:18:03.494Z,"11km W of El Reno, Oklahoma",earthquake
2014-09-02T20:00:12.800Z,-27.9218,-176.6585,56.73,5.2,mb,,71,1.728,0.97,us,usc000s93k,2014-09-03T20:44:10.520Z,"192km NE of Raoul Island, New Zealand",earthquake
2014-09-02T19:28:34.040Z,51.6938,178.5499,98.44,4.5,mb,,151,0.565,0.79,us,usc000s92n,2014-09-03T18:54:26.334Z,"28km S of Little Sitkin Island, Alaska",earthquake
2014-09-02T18:53:36.000Z,51.7098,-174.7521,27.3,2.5,ml,,,,0.87,ak,ak11377562,2014-09-03T03:14:17.815Z,"66km SW of Atka, Alaska",earthquake
2014-09-02T18:39:40.580Z,-10.1653,111.1428,34.99,4.5,mb,,107,2.32,0.87,us,usc000s91n,2014-09-03T18:12:43.552Z,"210km S of Ngulung Wetan, Indonesia",earthquake
2014-09-02T18:21:52.000Z,50.4215,177.0648,39.9,3,ml,,,,1.34,us,usc000s92b,2014-09-03T18:05:42.742Z,"190km SSW of Kiska Volcano, Alaska",earthquake
2014-09-02T17:50:31.000Z,-23.453,-69.435,78.8,4.3,mb,,,,1.93,us,usc000s90v,2014-09-03T17:28:16.293Z,"100km ENE of Antofagasta, Chile",earthquake
2014-09-02T17:04:47.320Z,-22.9591,-176.5034,169.1,4.8,mb,,116,7.278,0.6,us,usc000s90i,2014-09-03T17:40:18.272Z,"236km SW of Vaini, Tonga",earthquake
2014-09-02T15:21:02.790Z,32.573,-109.034,5,2.6,ml,,85,1.055,0.97,us,usc000s8ym,2014-09-02T23:23:45.257Z,"39km NW of Lordsburg, New Mexico",earthquake
